"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 17 17:29:50 GMT 2024","Wed Jul 17 17:29:52 GMT 2024","1528","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Wed Jul 17 17:29:54 GMT 2024","Wed Jul 17 17:29:55 GMT 2024","1072","test","test_hootel","TestHootel","","","test_hotel_list",""
